
Battery Power : 74,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 72,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 56,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 54,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 52,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 50,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 48,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 45,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 43,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 25,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 43,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 42,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 40,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 38,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 36,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 34,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 32,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 30,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 28,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 26,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 24,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 23,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 21,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 19,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 17,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 15,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 13,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 11,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 9,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 7,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 6,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 4,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 2,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 2,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 2,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 2,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 2,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 2,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 2,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 2,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 2,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 2,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 2,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 2,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 2,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 2,Power Consumption : 2,Inverter Mode : 1,
Battery Power : 2,Power Consumption : 2,Inverter Mode : 1,
