Acquired Data :86, Time : 07-02-2025 09:19:59
Acquired Data :24, Time : 07-02-2025 09:19:59
Acquired Data :88, Time : 07-02-2025 09:19:59
Acquired Data :38, Time : 07-02-2025 09:19:59
Acquired Data :16, Time : 07-02-2025 09:19:59
Acquired Data :37, Time : 07-02-2025 09:20:00
Acquired Data :58, Time : 07-02-2025 09:20:00
Acquired Data :10, Time : 07-02-2025 09:20:00
Acquired Data :54, Time : 07-02-2025 09:20:00
Acquired Data :56, Time : 07-02-2025 09:20:00
Acquired Data :94, Time : 07-02-2025 09:20:00
Acquired Data :47, Time : 07-02-2025 09:20:00
Acquired Data :5, Time : 07-02-2025 09:20:00
Acquired Data :85, Time : 07-02-2025 09:20:00
Acquired Data :45, Time : 07-02-2025 09:20:00
Acquired Data :5, Time : 07-02-2025 09:20:00
Acquired Data :21, Time : 07-02-2025 09:20:00
Acquired Data :21, Time : 07-02-2025 09:20:00
Acquired Data :15, Time : 07-02-2025 09:20:00
Acquired Data :31, Time : 07-02-2025 09:20:00
Acquired Data :21, Time : 07-02-2025 09:20:00
Acquired Data :49, Time : 07-02-2025 09:20:00
