Acquired Data :70, Time : 07-02-2025 09:12:41
Acquired Data :94, Time : 07-02-2025 09:12:41
Acquired Data :20, Time : 07-02-2025 09:12:41
Acquired Data :49, Time : 07-02-2025 09:12:41
Acquired Data :29, Time : 07-02-2025 09:12:41
Acquired Data :4, Time : 07-02-2025 09:12:41
Acquired Data :10, Time : 07-02-2025 09:12:41
Acquired Data :67, Time : 07-02-2025 09:12:41
Acquired Data :76, Time : 07-02-2025 09:12:42
Acquired Data :8, Time : 07-02-2025 09:12:42
Acquired Data :19, Time : 07-02-2025 09:12:42
Acquired Data :74, Time : 07-02-2025 09:12:42
Acquired Data :45, Time : 07-02-2025 09:12:42
Acquired Data :83, Time : 07-02-2025 09:12:42
Acquired Data :27, Time : 07-02-2025 09:12:42
Acquired Data :0, Time : 07-02-2025 09:12:42
Acquired Data :73, Time : 07-02-2025 09:12:42
Acquired Data :85, Time : 07-02-2025 09:12:42
Acquired Data :26, Time : 07-02-2025 09:12:42
Acquired Data :38, Time : 07-02-2025 09:12:42
Acquired Data :58, Time : 07-02-2025 09:12:42
Acquired Data :77, Time : 07-02-2025 09:12:42
