Acquired Data :1, Time : 07-02-2025 09:20:08
Acquired Data :86, Time : 07-02-2025 09:20:08
Acquired Data :10, Time : 07-02-2025 09:20:08
Acquired Data :36, Time : 07-02-2025 09:20:08
Acquired Data :67, Time : 07-02-2025 09:20:08
Acquired Data :69, Time : 07-02-2025 09:20:08
Acquired Data :3, Time : 07-02-2025 09:20:08
Acquired Data :34, Time : 07-02-2025 09:20:08
Acquired Data :46, Time : 07-02-2025 09:20:08
Acquired Data :16, Time : 07-02-2025 09:20:08
Acquired Data :97, Time : 07-02-2025 09:20:08
Acquired Data :85, Time : 07-02-2025 09:20:08
Acquired Data :34, Time : 07-02-2025 09:20:08
Acquired Data :79, Time : 07-02-2025 09:20:08
Acquired Data :87, Time : 07-02-2025 09:20:08
Acquired Data :12, Time : 07-02-2025 09:20:08
Acquired Data :50, Time : 07-02-2025 09:20:08
Acquired Data :15, Time : 07-02-2025 09:20:08
Acquired Data :4, Time : 07-02-2025 09:20:08
Acquired Data :84, Time : 07-02-2025 09:20:09
Acquired Data :0, Time : 07-02-2025 09:20:09
Acquired Data :67, Time : 07-02-2025 09:20:09
