Acquired Data :52, Time : 07-02-2025 09:20:05
Acquired Data :46, Time : 07-02-2025 09:20:06
Acquired Data :41, Time : 07-02-2025 09:20:06
Acquired Data :100, Time : 07-02-2025 09:20:06
Acquired Data :69, Time : 07-02-2025 09:20:06
Acquired Data :79, Time : 07-02-2025 09:20:06
Acquired Data :19, Time : 07-02-2025 09:20:06
Acquired Data :7, Time : 07-02-2025 09:20:06
Acquired Data :29, Time : 07-02-2025 09:20:06
Acquired Data :9, Time : 07-02-2025 09:20:06
Acquired Data :75, Time : 07-02-2025 09:20:06
Acquired Data :47, Time : 07-02-2025 09:20:06
Acquired Data :60, Time : 07-02-2025 09:20:06
Acquired Data :29, Time : 07-02-2025 09:20:06
Acquired Data :31, Time : 07-02-2025 09:20:06
Acquired Data :90, Time : 07-02-2025 09:20:06
Acquired Data :42, Time : 07-02-2025 09:20:06
Acquired Data :18, Time : 07-02-2025 09:20:06
Acquired Data :81, Time : 07-02-2025 09:20:06
Acquired Data :94, Time : 07-02-2025 09:20:06
Acquired Data :3, Time : 07-02-2025 09:20:06
Acquired Data :37, Time : 07-02-2025 09:20:07
