Acquired Data :84, Time : 07-02-2025 09:19:21
Acquired Data :71, Time : 07-02-2025 09:19:21
Acquired Data :83, Time : 07-02-2025 09:19:22
Acquired Data :73, Time : 07-02-2025 09:19:22
Acquired Data :21, Time : 07-02-2025 09:19:22
Acquired Data :91, Time : 07-02-2025 09:19:22
Acquired Data :2, Time : 07-02-2025 09:19:22
Acquired Data :31, Time : 07-02-2025 09:19:22
Acquired Data :1, Time : 07-02-2025 09:19:22
Acquired Data :7, Time : 07-02-2025 09:19:22
Acquired Data :88, Time : 07-02-2025 09:19:22
Acquired Data :94, Time : 07-02-2025 09:19:22
Acquired Data :57, Time : 07-02-2025 09:19:22
Acquired Data :3, Time : 07-02-2025 09:19:22
Acquired Data :77, Time : 07-02-2025 09:19:22
Acquired Data :40, Time : 07-02-2025 09:19:22
Acquired Data :38, Time : 07-02-2025 09:19:22
Acquired Data :47, Time : 07-02-2025 09:19:22
Acquired Data :79, Time : 07-02-2025 09:19:22
Acquired Data :1, Time : 07-02-2025 09:19:22
Acquired Data :65, Time : 07-02-2025 09:19:22
Acquired Data :25, Time : 07-02-2025 09:19:22
