Acquired Data :91, Time : 04-02-2025 14:41:05
Acquired Data :90, Time : 04-02-2025 14:41:05
Acquired Data :43, Time : 04-02-2025 14:41:05
Acquired Data :42, Time : 04-02-2025 14:41:05
Acquired Data :29, Time : 04-02-2025 14:41:05
Acquired Data :97, Time : 04-02-2025 14:41:05
Acquired Data :20, Time : 04-02-2025 14:41:05
Acquired Data :88, Time : 04-02-2025 14:41:05
Acquired Data :71, Time : 04-02-2025 14:41:06
Acquired Data :29, Time : 04-02-2025 14:41:06
Acquired Data :6, Time : 04-02-2025 14:41:06
Acquired Data :99, Time : 04-02-2025 14:41:06
Acquired Data :53, Time : 04-02-2025 14:41:06
Acquired Data :20, Time : 04-02-2025 14:41:06
Acquired Data :87, Time : 04-02-2025 14:41:06
Acquired Data :52, Time : 04-02-2025 14:41:06
Acquired Data :37, Time : 04-02-2025 14:41:06
Acquired Data :28, Time : 04-02-2025 14:41:06
Acquired Data :51, Time : 04-02-2025 14:41:06
Acquired Data :59, Time : 04-02-2025 14:41:06
Acquired Data :7, Time : 04-02-2025 14:41:06
Acquired Data :59, Time : 04-02-2025 14:41:06
Acquired Data :95, Time : 04-02-2025 14:41:06
Acquired Data :39, Time : 04-02-2025 14:41:06
Acquired Data :86, Time : 04-02-2025 14:41:06
Acquired Data :52, Time : 04-02-2025 14:41:06
Acquired Data :53, Time : 04-02-2025 14:41:06
Acquired Data :96, Time : 04-02-2025 14:41:06
Acquired Data :74, Time : 04-02-2025 14:41:07
Acquired Data :25, Time : 04-02-2025 14:41:07
Acquired Data :27, Time : 04-02-2025 14:41:07
Acquired Data :9, Time : 04-02-2025 14:41:07
Acquired Data :1, Time : 04-02-2025 14:41:07
Acquired Data :11, Time : 04-02-2025 14:41:07
Acquired Data :64, Time : 04-02-2025 14:41:07
Acquired Data :73, Time : 04-02-2025 14:41:07
Acquired Data :29, Time : 04-02-2025 14:41:07
Acquired Data :82, Time : 04-02-2025 14:41:07
Acquired Data :1, Time : 04-02-2025 14:41:07
Acquired Data :11, Time : 04-02-2025 14:41:07
Acquired Data :94, Time : 04-02-2025 14:41:07
Acquired Data :92, Time : 04-02-2025 14:41:07
Acquired Data :35, Time : 04-02-2025 14:41:07
Acquired Data :70, Time : 04-02-2025 14:41:07
Acquired Data :81, Time : 04-02-2025 14:41:07
Acquired Data :21, Time : 04-02-2025 14:41:07
Acquired Data :51, Time : 04-02-2025 14:41:07
Acquired Data :95, Time : 04-02-2025 14:41:08
Acquired Data :80, Time : 04-02-2025 14:41:08
Acquired Data :1, Time : 04-02-2025 14:41:08
Acquired Data :2, Time : 04-02-2025 14:41:08
Acquired Data :15, Time : 04-02-2025 14:41:08
Acquired Data :46, Time : 04-02-2025 14:41:08
Acquired Data :67, Time : 04-02-2025 14:41:07
Acquired Data :56, Time : 04-02-2025 14:41:08
Acquired Data :62, Time : 04-02-2025 14:41:08
Acquired Data :84, Time : 04-02-2025 14:41:08
Acquired Data :78, Time : 04-02-2025 14:41:08
Acquired Data :75, Time : 04-02-2025 14:41:08
Acquired Data :24, Time : 04-02-2025 14:41:08
Acquired Data :79, Time : 04-02-2025 14:41:08
Acquired Data :35, Time : 04-02-2025 14:41:08
Acquired Data :71, Time : 04-02-2025 14:41:08
Acquired Data :65, Time : 04-02-2025 14:41:08
Acquired Data :1, Time : 04-02-2025 14:41:08
Acquired Data :14, Time : 04-02-2025 14:41:08
Acquired Data :21, Time : 04-02-2025 14:41:08
Acquired Data :62, Time : 04-02-2025 14:41:09
Acquired Data :35, Time : 04-02-2025 14:41:09
Acquired Data :82, Time : 04-02-2025 14:41:09
Acquired Data :25, Time : 04-02-2025 14:41:09
Acquired Data :14, Time : 04-02-2025 14:41:09
Acquired Data :47, Time : 04-02-2025 14:41:09
Acquired Data :17, Time : 04-02-2025 14:41:09
Acquired Data :100, Time : 04-02-2025 14:41:09
Acquired Data :98, Time : 04-02-2025 14:41:09
Acquired Data :21, Time : 04-02-2025 14:41:09
Acquired Data :17, Time : 04-02-2025 14:41:09
Acquired Data :25, Time : 04-02-2025 14:41:09
Acquired Data :19, Time : 04-02-2025 14:41:09
Acquired Data :15, Time : 04-02-2025 14:41:09
Acquired Data :27, Time : 04-02-2025 14:41:09
Acquired Data :22, Time : 04-02-2025 14:41:09
Acquired Data :13, Time : 04-02-2025 14:41:09
Acquired Data :92, Time : 04-02-2025 14:41:09
Acquired Data :13, Time : 04-02-2025 14:41:09
Acquired Data :65, Time : 04-02-2025 14:41:09
Acquired Data :54, Time : 04-02-2025 14:41:10
Acquired Data :20, Time : 04-02-2025 14:41:10
Acquired Data :57, Time : 04-02-2025 14:41:10
Acquired Data :75, Time : 04-02-2025 14:41:10
Acquired Data :65, Time : 04-02-2025 14:41:10
Acquired Data :26, Time : 04-02-2025 14:41:10
Acquired Data :1, Time : 04-02-2025 14:41:10
Acquired Data :25, Time : 04-02-2025 14:41:10
Acquired Data :30, Time : 04-02-2025 14:41:10
Acquired Data :9, Time : 04-02-2025 14:41:10
Acquired Data :72, Time : 04-02-2025 14:41:10
Acquired Data :86, Time : 04-02-2025 14:41:10
Acquired Data :63, Time : 04-02-2025 14:41:10
Acquired Data :18, Time : 04-02-2025 14:41:10
Acquired Data :81, Time : 04-02-2025 14:41:10
Acquired Data :22, Time : 04-02-2025 14:41:10
Acquired Data :3, Time : 04-02-2025 14:41:10
Acquired Data :6, Time : 04-02-2025 14:41:10
Acquired Data :6, Time : 04-02-2025 14:41:10
Acquired Data :31, Time : 04-02-2025 14:41:10
Acquired Data :19, Time : 04-02-2025 14:41:11
Acquired Data :82, Time : 04-02-2025 14:41:11
Acquired Data :75, Time : 04-02-2025 14:41:11
Acquired Data :45, Time : 04-02-2025 14:41:11
Acquired Data :55, Time : 04-02-2025 14:41:11
Acquired Data :14, Time : 04-02-2025 14:41:11
Acquired Data :98, Time : 04-02-2025 14:41:11
Acquired Data :79, Time : 04-02-2025 14:41:11
Acquired Data :5, Time : 04-02-2025 14:41:11
Acquired Data :41, Time : 04-02-2025 14:41:08
Acquired Data :97, Time : 04-02-2025 14:41:11
Acquired Data :66, Time : 04-02-2025 14:41:11
Acquired Data :96, Time : 04-02-2025 14:41:11
Acquired Data :31, Time : 04-02-2025 14:41:11
Acquired Data :9, Time : 04-02-2025 14:41:11
Acquired Data :11, Time : 04-02-2025 14:41:11
Acquired Data :3, Time : 04-02-2025 14:41:11
Acquired Data :64, Time : 04-02-2025 14:41:11
Acquired Data :56, Time : 04-02-2025 14:41:11
Acquired Data :40, Time : 04-02-2025 14:41:11
Acquired Data :66, Time : 04-02-2025 14:41:11
Acquired Data :10, Time : 04-02-2025 14:41:12
Acquired Data :13, Time : 04-02-2025 14:41:12
Acquired Data :39, Time : 04-02-2025 14:41:12
Acquired Data :6, Time : 04-02-2025 14:41:12
Acquired Data :48, Time : 04-02-2025 14:41:12
Acquired Data :20, Time : 04-02-2025 14:41:12
Acquired Data :92, Time : 04-02-2025 14:41:12
Acquired Data :81, Time : 04-02-2025 14:41:12
Acquired Data :88, Time : 04-02-2025 14:41:12
Acquired Data :1, Time : 04-02-2025 14:41:12
Acquired Data :96, Time : 04-02-2025 14:41:12
Acquired Data :12, Time : 04-02-2025 14:41:12
Acquired Data :52, Time : 04-02-2025 14:41:12
Acquired Data :76, Time : 04-02-2025 14:41:12
Acquired Data :47, Time : 04-02-2025 14:41:12
Acquired Data :78, Time : 04-02-2025 14:41:12
Acquired Data :95, Time : 04-02-2025 14:41:12
Acquired Data :9, Time : 04-02-2025 14:41:12
Acquired Data :72, Time : 04-02-2025 14:41:12
Acquired Data :21, Time : 04-02-2025 14:41:13
Acquired Data :48, Time : 04-02-2025 14:41:13
Acquired Data :81, Time : 04-02-2025 14:41:13
Acquired Data :73, Time : 04-02-2025 14:41:13
Acquired Data :89, Time : 04-02-2025 14:41:13
Acquired Data :75, Time : 04-02-2025 14:41:13
Acquired Data :16, Time : 04-02-2025 14:41:13
Acquired Data :68, Time : 04-02-2025 14:41:13
Acquired Data :27, Time : 04-02-2025 14:41:13
Acquired Data :84, Time : 04-02-2025 14:41:13
Acquired Data :11, Time : 04-02-2025 14:41:13
Acquired Data :29, Time : 04-02-2025 14:41:13
Acquired Data :12, Time : 04-02-2025 14:41:13
Acquired Data :28, Time : 04-02-2025 14:41:13
Acquired Data :11, Time : 04-02-2025 14:41:13
Acquired Data :79, Time : 04-02-2025 14:41:13
Acquired Data :60, Time : 04-02-2025 14:41:13
Acquired Data :70, Time : 04-02-2025 14:41:13
Acquired Data :72, Time : 04-02-2025 14:41:13
Acquired Data :60, Time : 04-02-2025 14:41:13
Acquired Data :90, Time : 04-02-2025 14:41:14
Acquired Data :17, Time : 04-02-2025 14:41:14
Acquired Data :98, Time : 04-02-2025 14:41:14
Acquired Data :88, Time : 04-02-2025 14:41:14
Acquired Data :32, Time : 04-02-2025 14:41:14
Acquired Data :73, Time : 04-02-2025 14:41:14
Acquired Data :68, Time : 04-02-2025 14:41:14
Acquired Data :59, Time : 04-02-2025 14:41:14
Acquired Data :98, Time : 04-02-2025 14:41:14
Acquired Data :61, Time : 04-02-2025 14:41:14
Acquired Data :9, Time : 04-02-2025 14:41:14
Acquired Data :22, Time : 04-02-2025 14:41:14
Acquired Data :45, Time : 04-02-2025 14:41:14
Acquired Data :51, Time : 04-02-2025 14:41:14
Acquired Data :20, Time : 04-02-2025 14:41:14
Acquired Data :23, Time : 04-02-2025 14:41:14
Acquired Data :29, Time : 04-02-2025 14:41:14
Acquired Data :39, Time : 04-02-2025 14:41:14
Acquired Data :0, Time : 04-02-2025 14:41:14
Acquired Data :21, Time : 04-02-2025 14:41:14
Acquired Data :67, Time : 04-02-2025 14:41:15
Acquired Data :83, Time : 04-02-2025 14:41:15
