0,C:\Program Files\National Instruments\Shared,63 Items
1,C:\Program Files\National Instruments\PXI Platform Services,10 Items
2,C:\Program Files\National Instruments\NI-TSU,1 Items
3,C:\Program Files\National Instruments\NI-SyncEnet,1 Items
4,C:\Program Files\National Instruments\NI-SyncBus,1 Items
5,C:\Program Files\National Instruments\NI-Sync,1 Items
6,C:\Program Files\National Instruments\NI-QPXI,1 Items
7,C:\Program Files\National Instruments\NI-PCNet,3 Items
8,C:\Program Files\National Instruments\NI-DAQ,3 Items
9,C:\Program Files\National Instruments\NI Package Manager,21 Items
10,C:\Program Files\National Instruments\NI Controller Driver,2 Items
11,C:\Program Files\National Instruments\MXI,2 Items
12,C:\Program Files\National Instruments\MAX,17 Items
13,C:\Program Files\National Instruments\LabVIEW 2023,19 Items
14,C:\Program Files\National Instruments\LabVIEW 2022,1 Items
15,C:\Program Files\National Instruments\LabVIEW 2021,1 Items
16,C:\Program Files\National Instruments\LabVIEW 2020,2 Items
17,,2 Items
